#n,,,,,,,
384,,,,,,,
#no,x(m),y(m),z(m),nx,ny,nz,area(m2)
208,-0.001097,0.093706,-0.00236,0,0,1,3.14E-06
209,0.031128,0.093749,-0.001369,0,0,1,3.14E-06
210,-0.006683,0.094581,-0.002409,0,0,1,3.14E-06
211,-0.019766,0.09463,-0.002743,0,0,1,3.14E-06
212,0.009103,0.094674,-0.002384,0,0,1,3.14E-06
213,-0.045426,0.094703,-0.001761,0,0,1,3.14E-06
214,-0.051571,0.096498,-0.002093,0,0,1,3.14E-06
215,0.041246,0.096508,-0.001299,0,0,1,3.14E-06
216,-0.010705,0.09659,-0.00269,0,0,1,3.14E-06
217,0.019319,0.096926,-0.002218,0,0,1,3.14E-06
218,0.02361,0.097996,-0.001541,0,0,1,3.14E-06
219,-0.02677,0.098283,-0.001506,0,0,1,3.14E-06
220,0.003005,0.098745,-0.002118,0,0,1,3.14E-06
221,-0.043306,0.098769,-0.00142,0,0,1,3.14E-06
222,-0.021915,0.098862,-0.002647,0,0,1,3.14E-06
223,0.008959,0.099008,-0.001972,0,0,1,3.14E-06
224,-0.016529,0.099066,-0.002931,0,0,1,3.14E-06
225,0.036956,0.099241,-0.002258,0,0,1,3.14E-06
226,0.013206,0.09982,-0.00204,0,0,1,3.14E-06
227,-0.005162,0.100263,-0.002094,0,0,1,3.14E-06
228,-0.050263,0.100555,-0.002575,0,0,1,3.14E-06
229,0.031602,0.100598,-0.001452,0,0,1,3.14E-06
230,-0.000561,0.101333,-0.001844,0,0,1,3.14E-06
231,0.019689,0.101459,-0.002345,0,0,1,3.14E-06
232,0.025852,0.101922,-0.001243,0,0,1,3.14E-06
233,-0.009271,0.102145,-0.002148,0,0,1,3.14E-06
234,-0.054168,0.10233,-0.001976,0,0,1,3.14E-06
235,-0.046348,0.102758,-0.002487,0,0,1,3.14E-06
236,-0.025754,0.103026,-0.001715,0,0,1,3.14E-06
237,0.006669,0.103264,-0.001367,0,0,1,3.14E-06
238,0.040625,0.10341,-0.002133,0,0,1,3.14E-06
239,0.015903,0.104111,-0.002355,0,0,1,3.14E-06
240,-0.014757,0.104529,-0.002297,0,0,1,3.14E-06
241,-0.019314,0.104767,-0.002442,0,0,1,3.14E-06
242,0.036667,0.105453,-0.00237,0,0,1,3.14E-06
243,-0.004971,0.105521,-0.001293,0,0,1,3.14E-06
244,0.023556,0.105871,-0.00244,0,0,1,3.14E-06
245,-0.051135,0.106037,-0.002973,0,0,1,3.14E-06
246,0.032266,0.106747,-0.001372,0,0,1,3.14E-06
247,0.012807,0.107131,-0.001805,0,0,1,3.14E-06
248,0.002271,0.107146,-0.001214,0,0,1,3.14E-06
249,-0.055419,0.107564,-0.002088,0,0,1,3.14E-06
250,-0.023568,0.107929,-0.001908,0,0,1,3.14E-06
251,0.042655,0.10807,-0.001646,0,0,1,3.14E-06
252,0.019541,0.108274,-0.003038,0,0,1,3.14E-06
253,-0.043444,0.108975,-0.001704,0,0,1,3.14E-06
254,-0.014892,0.109038,-0.001489,0,0,1,3.14E-06
255,-0.019129,0.109379,-0.002064,0,0,1,3.14E-06
256,0.037432,0.110108,-0.002057,0,0,1,3.14E-06
257,-0.048337,0.11024,-0.003059,0,0,1,3.14E-06
258,0.024394,0.110643,-0.002753,0,0,1,3.14E-06
259,-0.053525,0.111723,-0.003056,0,0,1,3.14E-06
260,0.012939,0.111748,-0.00201,0,0,1,3.14E-06
261,0.018851,0.112677,-0.003374,0,0,1,3.14E-06
262,-0.024744,0.112983,-0.001592,0,0,1,3.14E-06
263,-0.017232,0.113202,-0.001813,0,0,1,3.14E-06
264,-0.000965,0.113722,-0.001037,0,0,1,3.14E-06
265,0.041808,0.113732,-0.001594,0,0,1,3.14E-06
266,-0.046493,0.114267,-0.002376,0,0,1,3.14E-06
267,0.004392,0.114632,-0.001124,0,0,1,3.14E-06
268,0.02733,0.115031,-0.001792,0,0,1,3.14E-06
269,-0.056379,0.115128,-0.00243,0,0,1,3.14E-06
270,0.037937,0.115848,-0.001467,0,0,1,3.14E-06
271,0.022888,0.115853,-0.003255,0,0,1,3.14E-06
272,0.013193,0.116203,-0.002049,0,0,1,3.14E-06
273,-0.001561,0.118538,-0.000962,0,0,1,3.14E-06
274,-0.020302,0.118577,-0.002322,0,0,1,3.14E-06
